,Book Name,Author Name,Publisher,Publish Date,Purchase Info,Page Numbers,Cover Type,Paper Type,Rate,Rating Count,Review Count,Fav Count,To-Read List Count,Price,Discount
0,Gece Yarısı Kütüphanesi,Matt Haig,DOMİNGO YAYINEVİ,23/02/2022,Bu üründen 87765 adet satın alınmıştır,283.0,Karton Kapak,,5.0,2007.0,1328.0,38405,,80.5,Kazanacağınız Puan: 80
1,Çantamdan Fil Çıktı,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,09/05/2023,Bu üründen 24569 adet satın alınmıştır,64.0,Karton Kapak,,5.0,199.0,125.0,4637,392.0,50.05,Kazanacağınız Puan: 56
2,Atomik Alışkanlıklar,James Clear,PEGASUS YAYINLARI,08/05/2020,Bu üründen 44686 adet satın alınmıştır,352.0,Karton Kapak,,5.0,570.0,305.0,24324,,148.06,Kazanacağınız Puan: 70
3,Uzaya Giden Tren,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,22/09/2023,Bu üründen 32011 adet satın alınmıştır,64.0,Karton Kapak,,5.0,347.0,213.0,6608,512.0,50.05,Kazanacağınız Puan: 46
4,Cumhuriyet’in İlk Sabahı,"Prof. Dr. İlber Ortaylı,  

 Şermin Yaşar",KRONİK KİTAP,17/05/2023,Bu üründen 21221 adet satın alınmıştır,120.0,Karton Kapak,,5.0,238.0,162.0,3732,469.0,55.71,Kazanacağınız Puan: 66
5,İnsanlığımı Yitirirken,Osamu Dazai,İTHAKİ YAYINLARI,28/12/2022,Bu üründen 18459 adet satın alınmıştır,128.0,Karton Kapak,,4.0,316.0,185.0,11896,774.0,36.4,Kazanacağınız Puan: 34
6,Şeker Portakalı (Ciltsiz),Jose Mauro De Vasconcelos,CAN YAYINLARI,06/09/2019,Bu üründen 286824 adet satın alınmıştır,182.0,Karton Kapak,,5.0,22262.0,10375.0,66640,,70.1,Kazanacağınız Puan: 50
7,Yaşamak,Yu Hua,JAGUAR KİTAP,28/11/2019,Bu üründen 39187 adet satın alınmıştır,210.0,Karton Kapak,,5.0,1817.0,1070.0,24611,,71.4,Kazanacağınız Puan: 60
8,Benim Zürafam Uçabilir,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,14/10/2021,Bu üründen 44989 adet satın alınmıştır,64.0,Karton Kapak,,5.0,644.0,396.0,7999,697.0,42.31,Kazanacağınız Puan: 46
9,İnsanın Anlam Arayışı,Viktor Emil Frankl,OKUYAN US YAYIN,19/09/2019,Bu üründen 60424 adet satın alınmıştır,170.0,Karton Kapak,,5.0,2149.0,1050.0,32184,,85.2,Kazanacağınız Puan: 70
10,Pal Sokağı Çocukları,Ferenc Molnar,YAPI KREDİ YAYINLARI,08/10/2021,Bu üründen 79240 adet satın alınmıştır,235.0,Karton Kapak,,5.0,3522.0,1708.0,25616,,34.0,Kazanacağınız Puan: 40
11,Para Ağacı,Şermin Yaşar,TAZE KİTAP,24/11/2022,Bu üründen 16065 adet satın alınmıştır,152.0,Karton Kapak,,5.0,194.0,123.0,4206,582.0,113.22,Kazanacağınız Puan: 128
12,Var mısın?  Güçlü Bir Yaşam İçin Öneriler,Doğan Cüceloğlu,KRONİK KİTAP,11/01/2021,Bu üründen 91121 adet satın alınmıştır,320.0,Karton Kapak,,5.0,1804.0,996.0,27472,,50.01,Kazanacağınız Puan: 78
13,Simyacı (Ciltsiz),Paulo Coelho,CAN YAYINLARI,28/09/2021,Bu üründen 199063 adet satın alınmıştır,184.0,Karton Kapak,,5.0,16262.0,7793.0,62321,,71.3,Kazanacağınız Puan: 52
14,Ayvayı Yedik Müzesi,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,08/09/2023,Bu üründen 13184 adet satın alınmıştır,64.0,Karton Kapak,,5.0,71.0,43.0,2593,231.0,46.8,
15,İnsan Olmak,Engin Geçtan,METİS YAYINLARI,12/06/2023,Bu üründen 50272 adet satın alınmıştır,192.0,Karton Kapak,,5.0,1910.0,981.0,23556,,76.97,Kazanacağınız Puan: 76
16,Bir Aşk Masalı,Ahmet Ümit,YAPI KREDİ YAYINLARI,10/10/2022,Bu üründen 18993 adet satın alınmıştır,256.0,Karton Kapak,,4.0,375.0,255.0,7956,955.0,48.76,Kazanacağınız Puan: 86
17,Veronika Ölmek İstiyor,Paulo Coelho,CAN YAYINLARI,06/08/2019,Bu üründen 75718 adet satın alınmıştır,198.0,Karton Kapak,,5.0,3904.0,2024.0,44355,,75.9,Kazanacağınız Puan: 58
18,Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,15/09/2017,Bu üründen 87359 adet satın alınmıştır,382.0,Karton Kapak,,5.0,5910.0,2763.0,52093,,158.4,Kazanacağınız Puan: 104
19,Bunun Adı Findel,Andrew Clements,GÜNIŞIĞI KİTAPLIĞI,21/03/2022,Bu üründen 40986 adet satın alınmıştır,112.0,Karton Kapak,,5.0,781.0,325.0,3849,450.0,55.6,Kazanacağınız Puan: 56
20,Zeytindağı,Falih Rıfkı Atay,POZİTİF YAYINLARI,09/06/2023,Bu üründen 46445 adet satın alınmıştır,176.0,Karton Kapak,,4.0,2706.0,1271.0,18489,,58.05,Kazanacağınız Puan: 30
21,Nietzsche Ağladığında,Irvin D. Yalom,AYRINTI YAYINLARI,19/09/2023,Bu üründen 38398 adet satın alınmıştır,416.0,Karton Kapak,,5.0,2383.0,1517.0,31675,,120.83,Kazanacağınız Puan: 120
22,Osmanlı’yı Yeniden Keşfetmek,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,05/01/2023,Bu üründen 9426 adet satın alınmıştır,208.0,Karton Kapak,,5.0,186.0,98.0,5258,513.0,38.14,Kazanacağınız Puan: 66
23,Şehirdeki Gizemli Sinyal - Faruk,Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI,19/09/2023,Bu üründen 12764 adet satın alınmıştır,64.0,Karton Kapak,,5.0,59.0,42.0,1504,117.0,49.1,Kazanacağınız Puan: 64
24,Zaman Bisikleti,Bilgin Adalı,CAN ÇOCUK YAYINLARI,06/07/2021,Bu üründen 48444 adet satın alınmıştır,128.0,Karton Kapak,,5.0,1065.0,430.0,6705,617.0,40.01,Kazanacağınız Puan: 34
25,Kitaplardan Korkan Çocuk,Susanna Tamaro,CAN ÇOCUK YAYINLARI,31/10/2019,Bu üründen 60520 adet satın alınmıştır,44.0,Karton Kapak,,5.0,1891.0,808.0,8241,733.0,40.8,Kazanacağınız Puan: 28
26,Çalınan Dikkat,Johann Hari,METİS YAYINLARI,14/08/2023,Bu üründen 8515 adet satın alınmıştır,320.0,Karton Kapak,,5.0,147.0,69.0,5667,354.0,123.74,Kazanacağınız Puan: 174
27,Dervişin Teselli Koleksiyonu  Doğu'dan Batı'dan 99 Teselli,Mecit Ömür Öztürk,HAYY KİTAP,01/01/2019,Bu üründen 54466 adet satın alınmıştır,344.0,Karton Kapak,,5.0,1786.0,1072.0,13069,,63.89,Kazanacağınız Puan: 66
28,İçimdeki Müzik,Sharon M. Draper,TİMAŞ GENÇ,10/02/2020,Bu üründen 66190 adet satın alınmıştır,256.0,Karton Kapak,,5.0,2532.0,1308.0,16340,,69.11,Kazanacağınız Puan: 60
29,Geliştiren Anne-Baba,Doğan Cüceloğlu,KRONİK KİTAP,08/11/2021,Bu üründen 18345 adet satın alınmıştır,192.0,Karton Kapak,,5.0,214.0,125.0,9282,439.0,62.51,Kazanacağınız Puan: 78
30,Momo,Michael Ende,PEGASUS YAYINLARI,07/09/2017,Bu üründen 224208 adet satın alınmıştır,304.0,Karton Kapak,,5.0,10357.0,4950.0,49660,,126.0,Kazanacağınız Puan: 60
31,İnsan Geleceğini Nasıl Kurar?  Kendini İnşa Etmenin Yolları,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,22/02/2022,Bu üründen 22570 adet satın alınmıştır,288.0,Karton Kapak,,5.0,406.0,217.0,12364,,55.36,Kazanacağınız Puan: 60
32,İyi Hissetmek,Dr. David Burns,PSİKONET YAYINLARI,01/04/2012,Bu üründen 59507 adet satın alınmıştır,632.0,Karton Kapak,,5.0,2467.0,1193.0,24957,,114.25,Kazanacağınız Puan: 108
33,Cesur Yeni Dünya,Aldous Huxley,İTHAKİ YAYINLARI,20/08/2021,Bu üründen 120570 adet satın alınmıştır,272.0,Karton Kapak,,5.0,7034.0,3263.0,43576,,82.6,Kazanacağınız Puan: 50
34,Kırmızı Pazartesi,Gabriel Garcia Marquez,CAN YAYINLARI,15/04/2019,Bu üründen 119061 adet satın alınmıştır,120.0,Karton Kapak,,4.0,10242.0,4539.0,43771,,52.02,Kazanacağınız Puan: 36
35,İrade Terbiyesi,Jules Payot,KAPRA YAYINCILIK,21/01/2021,Bu üründen 19999 adet satın alınmıştır,232.0,Karton Kapak,,5.0,284.0,141.0,6593,568.0,19.04,Kazanacağınız Puan: 20
36,Surname  Bir Osmanlı Macerası,Prof. Dr. İskender Pala,KAPI YAYINLARI,11/11/2022,Bu üründen 7914 adet satın alınmıştır,408.0,Karton Kapak,,5.0,242.0,158.0,3964,504.0,107.28,Kazanacağınız Puan: 148
37,Nefs Terbiyesi ve Ahlakı Güzelleştirme,İmam Gazali,ÇELİK YAYINEVİ,19/01/2021,Bu üründen 9981 adet satın alınmıştır,125.0,Karton Kapak,,5.0,131.0,66.0,5921,383.0,35.85,Kazanacağınız Puan: 36
38,Bir Ömür Nasıl Yaşanır?  Hayatta Doğru Seçimler İçin Öneriler,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,12/10/2021,Bu üründen 166215 adet satın alınmıştır,288.0,Karton Kapak,,5.0,8151.0,4116.0,39768,,55.36,Kazanacağınız Puan: 60
39,Fahrenheit 451,Ray Bradbury,İTHAKİ YAYINLARI,20/08/2021,Bu üründen 152655 adet satın alınmıştır,208.0,Karton Kapak,,4.0,10919.0,5084.0,44723,,82.6,Kazanacağınız Puan: 48
40,İnce Memed 1,Yaşar Kemal,YAPI KREDİ YAYINLARI,27/12/2021,Bu üründen 60310 adet satın alınmıştır,436.0,Karton Kapak,,5.0,4058.0,2228.0,25658,,113.6,Kazanacağınız Puan: 60
41,İçimdeki Melodi,Sharon M. Draper,TİMAŞ GENÇ,05/11/2022,Bu üründen 8356 adet satın alınmıştır,320.0,Karton Kapak,,5.0,144.0,89.0,4800,401.0,76.4,Kazanacağınız Puan: 100
42,Bilinçaltının Gücü  Zihinsel ve Bedensel İyileşme,Joseph Murphy,DİYOJEN YAYINCILIK,01/01/2020,Bu üründen 16501 adet satın alınmıştır,286.0,Karton Kapak,,5.0,192.0,97.0,9443,437.0,75.9,Kazanacağınız Puan: 68
43,Kraliçeyi Kurtarmak,Vladimir Tumanov,GÜNIŞIĞI KİTAPLIĞI,14/10/2019,Bu üründen 54199 adet satın alınmıştır,160.0,Karton Kapak,,5.0,1405.0,622.0,5419,661.0,64.2,Kazanacağınız Puan: 58
44,İnsan Vücudu Tiyatrosu,Maris Wicks,DOMİNGO ÇOCUK,19/09/2022,Bu üründen 24006 adet satın alınmıştır,240.0,Karton Kapak,,5.0,755.0,473.0,6049,491.0,99.72,Kazanacağınız Puan: 86
45,Çavdar Tarlasında Çocuklar,J. D. Salinger,YAPI KREDİ YAYINLARI,20/08/2019,Bu üründen 75052 adet satın alınmıştır,198.0,Karton Kapak,,4.0,5906.0,2549.0,32936,,49.4,Kazanacağınız Puan: 42
